3/21/2014;3/22/2014;Pinnacles;10.6;2743;COMPLETE!;sun, rattlesnakes, poison oak: http://goo.gl/i8X0fR stinging nettle: http://goo.gl/vGUQJi;http://goo.gl/9LvHNX;;http://imgur.com/a/0fRY2;1;-121.14;36.52
3/28/2014;3/30/2014;Sykes Hot Springs;18.6;7309;COMPLETE!;Downed trees, several river crossings, camping in a cold creek valley;http://goo.gl/dKxTuO;;https://imgur.com/a/Tu7N6;3;-121.78;36.25
4/4/2014;4/5/2014;Point Reyes;6;50;COMPLETE!;http://www.nps.gov/pore/planyourvisit/yoursafety.htm;trail blocked by wild animals, sleeping bags were soaked in morning dew which prompted an early exit. ;Saw two mountain lions, two black-tailed deer, seals, great egrets, western gulls, and a bufflehead duck;;0;-122.81;38.01
5/23/2014;5/26/2014;Lost Coast Trail (3-day holiday);25.6;;COMPLETE!;Black bears, rogue waves, soft shoulder trails on cliffs, sandly cliff edges falling, boulder fields;http://goo.gl/Db79OX;;http://imgur.com/a/XaWwu;3;-124.35;40.28
6/13/2014;6/15/2014;Sequoia;;;Booked, paid;;;;;0;-118.57;36.48
6/27/2014;6/29/2014;Yosemite ;;;Booked, paid;;;;;0;-119.54;37.86
7/11/2014;7/13/2014;Ventana Wilderness;;;You do not need a wilderness/backpacking permit for any of the wilderness areas in the Los Padres National Forest.;;;;;4;-121.56;36.19
7/25/2014;7/27/2014;Redwood (depart 4 PM);;;Free permits are required for camping at all designated backcountry camps in Redwood National and State Parks, available from any visitor center (except Prairie Creek Visitor Center).;;;;;4;-124.01;41.21
8/1/2014;8/3/2014;Desolation Wilderness ;;;Unknown;;;;;5;-120.18;38.95
8/15/2014;8/17/2014;Henry Coe;;;If they don't have walkup reservations available then I really don't want to go;;;;;5;-121.53;37.2
8/22/2014;8/24/2014;something along the coast;;;Unknown;;;;;5;;
9/5/2014;9/7/2014;Joshua Tree (depart 4 PM);;;If you will be out overnight, park and register at a backcountry registration board—there are 13 within the park.;;;Water sources in the park are not potable and are reserved for wildlife, so you will have to carry in an adequate supply for drinking, cooking, and hygiene. ;;5;-115.9;33.87
9/10/2014;9/13/2014;Joshua Tree (3-day vacation);;;If you will be out overnight, park and register at a backcountry registration board—there are 13 within the park.;;;Water sources in the park are not potable and are reserved for wildlife, so you will have to carry in an adequate supply for drinking, cooking, and hygiene. ;;5;-115.9;33.87
9/26/2014;9/28/2014;Death Valley (depart 4 PM);;;Free voluntary permits for backcountry camping may be obtained at the visitor center or any ranger station. ;;;Water sources in the park are not potable and are reserved for wildlife, so you will have to carry in an adequate supply for drinking, cooking, and hygiene. ;;5;-117.13;36.45
10/1/2014;10/4/2014;Death Valley (3-day vacation);;;Free voluntary permits for backcountry camping may be obtained at the visitor center or any ranger station.;;;Water sources in the park are not potable and are reserved for wildlife, so you will have to carry in an adequate supply for drinking, cooking, and hygiene. ;;5;-117.13;36.45
10/17/2014;10/19/2014;Cactus to Clouds Trail;;;Pending;;;;;5;;
10/31/2014;11/2/2014;Santa Monica Mountains;;;Pending (10 sites currently available);;;;;5;-118.74;34.09
11/7/2014;11/9/2014;Point Reyes;;;Registration opens 05/7;;;;;5;-122.81;38.01
11/14/2014;11/16/2014;Pinnacles;;;Pending (23 sites currently available);;;;;5;-121.14;36.52
